City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,punganuru,13.3667,78.5833,22.82,77,99,6.73,IN,2023-07-17 21:50:14
107,yekaterinovka,52.0508,44.3451,14.33,90,0,3.45,RU,2023-07-17 21:50:14
108,parham,17.0968,-61.7705,28.91,62,40,3.13,AG,2023-07-17 21:50:15
109,homer,59.6425,-151.5483,14.87,94,100,1.54,US,2023-07-17 21:50:15
110,pacific grove,36.6177,-121.9166,27.99,75,20,6.69,US,2023-07-17 21:47:55
111,bikenibeu village,1.3673,173.1241,27.98,89,75,1.54,KI,2023-07-17 21:50:16
112,brookings,44.3114,-96.7984,22.84,46,75,2.06,US,2023-07-17 21:50:16
113,isafjordur,66.0755,-23.124,9.41,83,76,1.7,IS,2023-07-17 21:50:16
114,tiwi,13.4667,123.6167,24.04,86,100,1.62,PH,2023-07-17 21:50:16
115,funafuti,-8.5243,179.1942,31.0,79,75,2.57,TV,2023-07-17 21:50:17
116,takab,36.4009,47.1133,16.91,68,0,1.71,IR,2023-07-17 21:50:17
117,gonen,40.1049,27.654,23.98,83,0,2.32,TR,2023-07-17 21:50:17
118,nikolayevsk-on-amure,53.1406,140.73,22.36,60,45,1.26,RU,2023-07-17 21:50:17
119,kapuskasing,49.4169,-82.4331,20.05,60,75,4.63,CA,2023-07-17 21:50:18
120,sabang,5.8933,95.3214,28.83,76,75,10.66,ID,2023-07-17 21:50:18
121,port moresby,-9.4431,147.1797,20.68,100,40,1.54,PG,2023-07-17 21:50:23
122,margate,51.3813,1.3862,16.5,78,100,2.24,GB,2023-07-17 21:50:17
123,saint-pierre,-21.3393,55.4781,21.82,88,100,1.03,RE,2023-07-17 21:50:23
124,freeport,40.6576,-73.5832,32.77,74,0,4.63,US,2023-07-17 21:48:34
125,crane,31.3974,-102.3501,38.87,12,0,7.69,US,2023-07-17 21:50:24
126,new norfolk,-42.7826,147.0587,11.62,58,93,4.4,AU,2023-07-17 21:50:24
127,santa terezinha,-29.9002,-50.0904,9.8,73,0,5.7,BR,2023-07-17 21:50:24
128,ganganagar,29.9167,73.8833,34.33,52,100,2.82,IN,2023-07-17 21:50:25
129,gaiman,-43.2897,-65.4929,3.37,35,0,2.17,AR,2023-07-17 21:50:25
130,namtsy,62.7161,129.6658,16.66,54,79,6.88,RU,2023-07-17 21:50:25
131,pasuquin,18.3328,120.6177,25.97,94,40,1.03,PH,2023-07-17 21:50:26
132,olonkinbyen,70.9221,-8.7187,4.36,94,100,10.95,SJ,2023-07-17 21:50:26
133,finley,46.154,-119.0339,31.94,33,0,4.63,US,2023-07-17 21:50:26
134,dudinka,69.4058,86.1778,12.92,98,99,5.74,RU,2023-07-17 21:50:26
135,kota kinabalu,5.9749,116.0724,23.99,88,20,2.57,MY,2023-07-17 21:46:54
136,lexington,37.9887,-84.4777,30.0,45,0,4.12,US,2023-07-17 21:50:01
137,kerikeri,-35.2268,173.9474,12.73,95,39,0.89,NZ,2023-07-17 21:50:27
